Model      | Non-Emb Params  | Total      | d_ff   | Norm  | Pos     | Act     | Bias
neon037    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon038    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon039    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon040    | 2,624,512       | 2,886,656  | 512    | RMS   | RoPE    | SwiGLU  | False
neon041    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon042    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon043    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon044    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon045    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon046    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon047    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon048    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon049    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon050    | 2,641,152       | 2,903,296  | 512    | RMS   | RoPE    | SwiGLU  | False
neon051    | 2,625,280       | 2,887,424  | 512    | RMS   | RoPE    | SwiGLU  | False
neon052    | 2,673,664       | 2,935,808  | 512    | RMS   | RoPE    | SwiGLU  | False
neon053    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon054    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon055    | 2,886,656       | 3,148,800  | 592    | RMS   | RoPE    | SwiGLU  | False
neon056    | 2,903,296       | 3,165,440  | 592    | RMS   | RoPE    | SwiGLU  | False
neon057    | 2,886,656       | 3,148,800  | 592    | RMS   | RoPE    | SwiGLU  | False
neon058    | 2,640,640       | 2,902,784  | 512    | RMS   | RoPE    | SwiGLU  | False
neon059    | 2,887,424       | 3,149,568  | 592    | RMS   | RoPE    | SwiGLU  | False
neon060    | 2,886,656       | 3,148,800  | 592    | RMS   | RoPE    | SwiGLU  | False
neon061    | 9,718,528       | 9,980,672  | 2736   | RMS   | RoPE    | SwiGLU  | False
neon062    | 2,624,768       | 2,886,912  | 512    | RMS   | RoPE    | Unknown | False
neon063    | 3,937,024       | 4,199,168  | 512    | RMS   | RoPE    | Unknown | False
neon064    | 2,755,072       | 3,017,216  | 512    | RMS   | RoPE    | SwiGLU  | False
neon065    | 4,200,704       | 4,462,848  | 512    | RMS   | RoPE    | SwiGLU  | False
neon066    | 2,887,936       | 3,150,080  | 512    | RMS   | RoPE    | SwiGLU  | False
neon067    | 2,886,912       | 3,149,056  | 512    | RMS   | RoPE    | SwiGLU  | False
neon068    | 2,886,144       | 3,148,288  | 512    | RMS   | RoPE    | SwiGLU  | False
neon069    | 2,886,016       | 3,148,160  | 512    | RMS   | RoPE    | SwiGLU  | False
neon070    | 2,837,248       | 3,099,392  | 576    | RMS   | RoPE    | Unknown | False
neon071    | 2,984,704       | 3,246,848  | 640    | RMS   | RoPE    | Unknown | False
neon072    | 3,214,080       | 3,476,224  | 512    | RMS   | RoPE    | Unknown | False
neon073    | 2,837,248       | 3,099,392  | 576    | RMS   | RoPE    | Unknown | False
neon074    | 2,837,248       | 3,099,392  | 576    | RMS   | RoPE    | Unknown | False
neon075    | 2,837,248       | 3,099,392  | 576    | RMS   | RoPE    | Unknown | False
neon076    | 2,825,040       | 3,070,800  | 480    | RMS   | RoPE    | Unknown | False
neon077    | 2,823,936       | 3,086,080  | 368    | RMS   | RoPE    | Unknown | False
neon078    | 2,862,208       | 3,124,352  | 500    | RMS   | RoPE    | SwiGLU  | False
neon079    | 2,867,096       | 3,129,240  | 480    | RMS   | RoPE    | SwiGLU  | False
