Neon213 Muon Long | Step 250: Train 3.6012, Val 3.5554
Neon213 Muon Long | Step 17250: Train 3.4731, Val 3.4794
Neon213 Muon Long | Step 17500: Train 3.5107, Val 3.4847
Neon213 Muon Long | Step 17750: Train 3.4236, Val 3.4911
Neon213 Muon Long | Step 18000: Train 3.5760, Val 3.4827
Neon213 Muon Long | Step 18250: Train 3.3600, Val 3.4706
Neon213 Muon Long | Step 18500: Train 3.4610, Val 3.4729
Neon213 Muon Long | Step 18750: Train 3.4927, Val 3.4760
Neon213 Muon Long | Step 19000: Train 3.4411, Val 3.4815
Neon213 Muon Long | Step 19250: Train 3.3537, Val 3.4893
Neon213 Muon Long | Step 19500: Train 3.4994, Val 3.4708
Neon213 Muon Long | Step 19750: Train 3.5734, Val 3.4796
Neon213 Muon Long | Step 20000: Train 3.5388, Val 3.4791
Neon213 Muon Long | Step 20250: Train 3.4324, Val 3.4717
Neon213 Muon Long | Step 20500: Train 3.5280, Val 3.4742
Neon213 Muon Long | Step 20750: Train 3.4919, Val 3.4668
Neon213 Muon Long | Step 21000: Train 3.4773, Val 3.4818
Neon213 Muon Long | Step 21250: Train 3.5430, Val 3.4666
Neon213 Muon Long | Step 21500: Train 3.4434, Val 3.4638
Neon213 Muon Long | Step 21750: Train 3.3913, Val 3.4673
Neon213 Muon Long | Step 22000: Train 3.4848, Val 3.4683
Neon213 Muon Long | Step 22250: Train 3.4531, Val 3.4744
Neon213 Muon Long | Step 22500: Train 3.4298, Val 3.4726
Neon213 Muon Long | Step 22750: Train 3.4319, Val 3.4624
Neon213 Muon Long | Step 23000: Train 3.4877, Val 3.4536
Neon213 Muon Long | Step 23250: Train 3.4935, Val 3.4746
Neon213 Muon Long | Step 23500: Train 3.4711, Val 3.4624
Neon213 Muon Long | Step 23750: Train 3.4169, Val 3.4743
Neon213 Muon Long | Step 24000: Train 3.4923, Val 3.4589
Neon213 Muon Long | Step 24250: Train 3.3705, Val 3.4745
Neon213 Muon Long | Step 24500: Train 3.4565, Val 3.4552
Neon213 Muon Long | Step 24750: Train 3.4617, Val 3.4736
Neon213 Muon Long | Step 25000: Train 3.4687, Val 3.4585
Neon213 Muon Long | Step 25250: Train 3.5400, Val 3.4675
Neon213 Muon Long | Step 25500: Train 3.4454, Val 3.4589
Neon213 Muon Long | Step 25750: Train 3.4904, Val 3.4727
Neon213 Muon Long | Step 26000: Train 3.4908, Val 3.4613
Neon213 Muon Long | Step 26250: Train 3.4327, Val 3.4664
Neon213 Muon Long | Step 26500: Train 3.5516, Val 3.4545
Neon213 Muon Long | Step 26750: Train 3.4527, Val 3.4613
Neon213 Muon Long | Step 27000: Train 3.4673, Val 3.4569
Neon213 Muon Long | Step 27250: Train 3.4652, Val 3.4480
Neon213 Muon Long | Step 27500: Train 3.4516, Val 3.4688
Neon213 Muon Long | Step 27750: Train 3.4221, Val 3.4426
Neon213 Muon Long | Step 28000: Train 3.4069, Val 3.4490
Neon213 Muon Long | Step 28250: Train 3.3921, Val 3.4553
Neon213 Muon Long | Step 28500: Train 3.3032, Val 3.4533
Neon213 Muon Long | Step 28750: Train 3.3788, Val 3.4474
Neon213 Muon Long | Step 29000: Train 3.4657, Val 3.4492
Neon213 Muon Long | Step 29250: Train 3.4244, Val 3.4470
Neon213 Muon Long | Step 29500: Train 3.4882, Val 3.4532
Neon213 Muon Long | Step 29750: Train 3.4082, Val 3.4531
Neon213 Muon Long | Step 30000: Train 3.4474, Val 3.4432
