Neon213-Muon-Growth | Step 250 (k=1): Train 5.7913, Val 5.7029
Neon213-Muon-Growth | Step 21000 (k=13): Train 3.6660, Val 3.6753
Neon213-Muon-Growth | Step 21250 (k=13): Train 3.6628, Val 3.6771
Neon213-Muon-Growth | Step 21500 (k=13): Train 3.5649, Val 3.6542
Neon213-Muon-Growth | Step 21750 (k=13): Train 3.6141, Val 3.6404
Neon213-Muon-Growth | Step 22000 (k=13): Train 3.6576, Val 3.6248
Neon213-Muon-Growth | Step 22250 (k=13): Train 3.7005, Val 3.6014
Neon213-Muon-Growth | Step 22500 (k=13): Train 3.5940, Val 3.5879
Neon213-Muon-Growth | Step 22750 (k=13): Train 3.6388, Val 3.5936
Neon213-Muon-Growth | Step 23000 (k=13): Train 3.5876, Val 3.5705
Neon213-Muon-Growth | Step 23250 (k=15): Train 3.7783, Val 3.6841
Neon213-Muon-Growth | Step 23500 (k=15): Train 3.6490, Val 3.6832
Neon213-Muon-Growth | Step 23750 (k=15): Train 3.7236, Val 3.6809
Neon213-Muon-Growth | Step 24000 (k=15): Train 3.6926, Val 3.6587
Neon213-Muon-Growth | Step 24250 (k=15): Train 3.6286, Val 3.6274
Neon213-Muon-Growth | Step 24500 (k=15): Train 3.6698, Val 3.6310
Neon213-Muon-Growth | Step 24750 (k=15): Train 3.6566, Val 3.6194
Neon213-Muon-Growth | Step 25000 (k=15): Train 3.6162, Val 3.6179
Neon213-Muon-Growth | Step 25250 (k=15): Train 3.6469, Val 3.5876
Neon213-Muon-Growth | Step 25500 (k=15): Train 3.4497, Val 3.5740
Neon213-Muon-Growth | Step 25750 (k=15): Train 3.5499, Val 3.5686
Neon213-Muon-Growth | Step 26000 (k=15): Train 3.5397, Val 3.5661
Neon213-Muon-Growth | Step 26250 (k=17): Train 3.5791, Val 3.6583
Neon213-Muon-Growth | Step 26500 (k=17): Train 3.5988, Val 3.6507
Neon213-Muon-Growth | Step 26750 (k=17): Train 3.6439, Val 3.6436
Neon213-Muon-Growth | Step 27000 (k=17): Train 3.7119, Val 3.6293
Neon213-Muon-Growth | Step 27250 (k=17): Train 3.6431, Val 3.6150
Neon213-Muon-Growth | Step 27500 (k=17): Train 3.5641, Val 3.6157
Neon213-Muon-Growth | Step 27750 (k=17): Train 3.6657, Val 3.5960
Neon213-Muon-Growth | Step 28000 (k=17): Train 3.7149, Val 3.5807
Neon213-Muon-Growth | Step 28250 (k=17): Train 3.6462, Val 3.5768
Neon213-Muon-Growth | Step 28500 (k=17): Train 3.5135, Val 3.5711
Neon213-Muon-Growth | Step 28750 (k=17): Train 3.4813, Val 3.5452
Neon213-Muon-Growth | Step 29000 (k=17): Train 3.5670, Val 3.5502
Neon213-Muon-Growth | Step 29250 (k=19): Train 3.5526, Val 3.6414
Neon213-Muon-Growth | Step 29500 (k=19): Train 3.6954, Val 3.6421
Neon213-Muon-Growth | Step 29750 (k=19): Train 3.6602, Val 3.6219
Neon213-Muon-Growth | Step 30000 (k=19): Train 3.5587, Val 3.6164
Neon213-Muon-Growth | Step 30250 (k=19): Train 3.6209, Val 3.5997
Neon213-Muon-Growth | Step 30500 (k=19): Train 3.5793, Val 3.6038
Neon213-Muon-Growth | Step 30750 (k=19): Train 3.6312, Val 3.5713
Neon213-Muon-Growth | Step 31000 (k=19): Train 3.5648, Val 3.5723
Neon213-Muon-Growth | Step 31250 (k=19): Train 3.5297, Val 3.5438
Neon213-Muon-Growth | Step 31500 (k=19): Train 3.5832, Val 3.5374
Neon213-Muon-Growth | Step 31750 (k=19): Train 3.6001, Val 3.5357
Neon213-Muon-Growth | Step 32000 (k=19): Train 3.5537, Val 3.5253
Neon213-Muon-Growth | Step 32250 (k=21): Train 3.6551, Val 3.6124
Neon213-Muon-Growth | Step 32500 (k=21): Train 3.6925, Val 3.6153
Neon213-Muon-Growth | Step 32750 (k=21): Train 3.6628, Val 3.6217
Neon213-Muon-Growth | Step 33000 (k=21): Train 3.6907, Val 3.5869
Neon213-Muon-Growth | Step 33250 (k=21): Train 3.5542, Val 3.5861
Neon213-Muon-Growth | Step 33500 (k=21): Train 3.5661, Val 3.5775
Neon213-Muon-Growth | Step 33750 (k=21): Train 3.5985, Val 3.5563
Neon213-Muon-Growth | Step 34000 (k=21): Train 3.5272, Val 3.5478
Neon213-Muon-Growth | Step 34250 (k=21): Train 3.5280, Val 3.5421
Neon213-Muon-Growth | Step 34500 (k=21): Train 3.4676, Val 3.5273
Neon213-Muon-Growth | Step 34750 (k=21): Train 3.4622, Val 3.5216
Neon213-Muon-Growth | Step 35000 (k=21): Train 3.5270, Val 3.5110
